,SENTIMENT
0,1
1,0
2,-1
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,-1
14,1
15,1
16,-1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,-1
43,-1
44,0
45,0
46,0
47,-1
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,-1
62,0
63,1
64,-1
65,1
66,0
67,0
68,0
69,-1
70,1
71,1
72,-1
73,1
74,-1
75,0
76,0
77,1
78,0
79,1
80,0
81,-1
82,0
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,-1
94,0
95,1
96,0
97,0
98,1
