,SENTIMENT
0,-1
1,0
2,-1
3,0
4,-1
5,-1
6,0
7,1
8,1
9,-1
10,-1
11,-1
12,1
13,0
14,-1
15,1
16,-1
17,0
18,0
19,0
20,0
21,-1
22,0
23,-1
24,0
25,0
26,0
27,0
28,-1
29,-1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,-1
39,0
40,-1
41,0
42,1
43,1
44,1
45,1
46,-1
47,0
48,-1
49,0
50,-1
51,-1
52,0
53,1
54,1
55,0
56,-1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,-1
72,0
73,1
74,1
75,1
76,1
77,1
78,0
79,-1
80,-1
81,1
82,1
83,0
84,-1
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,-1
