,SENTIMENT
0,0
1,1
2,0
3,1
4,0
5,1
6,-1
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,1
22,1
23,-1
24,0
25,0
26,1
27,1
28,0
29,1
30,0
31,-1
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,-1
43,0
44,0
45,0
46,1
47,-1
48,-1
49,1
50,1
51,0
52,0
53,0
54,0
55,-1
56,0
57,1
58,1
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,0
68,-1
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,-1
83,0
84,0
85,1
86,1
87,0
88,0
89,-1
90,-1
91,-1
92,0
93,0
94,0
95,-1
96,0
97,-1
98,1
99,1
