,Open1,Open2,Open3,Open4,Open5,High1,High2,High3,High4,High5,Low1,Low2,Low3,Low4,Low5,Close1,Close2,Close3,Close4,Close5,Adj Close1,Adj Close2,Adj Close3,Adj Close4,Adj Close5,Volume1,Volume2,Volume3,Volume4,Volume5,Positive1,Positive2,Positive3,Positive4,Positive5,Neutral1,Neutral2,Neutral3,Neutral4,Neutral5,Negative1,Negative2,Negative3,Negative4,Negative5,High,Low,Close
386,127.739998,125.720001,126.040001,125.029999,121.940002,128.570007,127.150002,126.370003,125.760002,123.849998,127.349998,125.580002,125.040001,124.32,121.209999,128.509995,126.82,125.610001,125.660004,123.279999,123.081818,121.463196,120.304298,120.352196,118.072723,36222400,33649200,31768100,41440500,61354500,13,10,6,12,13,17,7,6,16,17,3,3,7,3,7,129.619995,128.309998,129.619995
387,129.080002,127.739998,125.720001,126.040001,125.029999,129.619995,128.570007,127.150002,126.370003,125.760002,128.309998,127.349998,125.580002,125.040001,124.32,129.619995,128.509995,126.82,125.610001,125.660004,124.14492,123.081818,121.463196,120.304298,120.352196,46164700,36222400,33649200,31768100,41440500,8,13,10,6,12,22,17,7,6,16,5,3,3,7,3,132.970001,130.699997,132.070007
388,130.970001,129.080002,127.739998,125.720001,126.040001,132.970001,129.619995,128.570007,127.150002,126.370003,130.699997,128.309998,127.349998,125.580002,125.040001,132.070007,129.619995,128.509995,126.82,125.610001,126.491463,124.14492,123.081818,121.463196,120.304298,58900200,46164700,36222400,33649200,31768100,12,8,13,10,6,26,22,17,7,6,4,5,3,3,7,132.919998,130.320007,130.75
389,132.850006,130.970001,129.080002,127.739998,125.720001,132.919998,132.970001,129.619995,128.570007,127.150002,130.320007,130.699997,128.309998,127.349998,125.580002,130.75,132.070007,129.619995,128.509995,126.82,125.227188,126.491463,124.14492,123.081818,121.463196,76756400,58900200,46164700,36222400,33649200,40,12,8,13,10,66,26,22,17,7,23,4,5,3,3,125.5,121.989998,125.220001
390,121.989998,132.850006,130.970001,129.080002,127.739998,125.5,132.919998,132.970001,129.619995,128.570007,121.989998,130.320007,130.699997,128.309998,127.349998,125.220001,130.75,132.070007,129.619995,128.509995,119.930779,125.227188,126.491463,124.14492,123.081818,115450600,76756400,58900200,46164700,36222400,27,40,12,8,13,82,66,26,22,17,14,23,4,5,3,127.089996,125.059998,125.160004
391,126.199997,121.989998,132.850006,130.970001,129.080002,127.089996,125.5,132.919998,132.970001,129.619995,125.059998,121.989998,130.320007,130.699997,128.309998,125.160004,125.220001,130.75,132.070007,129.619995,119.873306,119.930779,125.227188,126.491463,124.14492,50999500,115450600,76756400,58900200,46164700,18,27,40,12,8,28,82,66,26,22,9,14,23,4,5,125.739998,123.900002,124.5
392,125.32,126.199997,121.989998,132.850006,130.970001,125.739998,127.089996,125.5,132.919998,132.970001,123.900002,125.059998,121.989998,130.320007,130.699997,124.5,125.160004,125.220001,130.75,132.070007,119.241196,119.873306,119.930779,125.227188,126.491463,42162300,50999500,115450600,76756400,58900200,8,18,27,40,12,14,28,82,66,26,5,9,14,23,4,123.610001,122.120003,122.769997
393,123.089996,125.32,126.199997,121.989998,132.850006,123.610001,125.739998,127.089996,125.5,132.919998,122.120003,123.900002,125.059998,121.989998,130.320007,122.769997,124.5,125.160004,125.220001,130.75,117.584259,119.241196,119.873306,119.930779,125.227188,44455500,42162300,50999500,115450600,76756400,3,8,18,27,40,5,14,28,82,66,2,5,9,14,23,123.910004,122.550003,123.379997
394,123.379997,123.089996,125.32,126.199997,121.989998,123.910004,123.610001,125.739998,127.089996,125.5,122.550003,122.120003,123.900002,125.059998,121.989998,123.379997,122.769997,124.5,125.160004,125.220001,118.168503,117.584259,119.241196,119.873306,119.930779,33618100,44455500,42162300,50999500,115450600,3,3,8,18,27,10,5,14,28,82,0,2,5,9,14,123.5,122.269997,122.989998
395,123.150002,123.379997,123.089996,125.32,126.199997,123.5,123.910004,123.610001,125.739998,127.089996,122.269997,122.550003,122.120003,123.900002,125.059998,122.989998,123.379997,122.769997,124.5,125.160004,117.794968,118.168503,117.584259,119.241196,119.873306,37011700,33618100,44455500,42162300,50999500,8,3,3,8,18,10,10,5,14,28,0,0,2,5,9,122.57,121.709999,122.370003
396,122.32,123.150002,123.379997,123.089996,125.32,122.57,123.5,123.910004,123.610001,125.739998,121.709999,122.269997,122.550003,122.120003,123.900002,122.370003,122.989998,123.379997,122.769997,124.5,117.201164,117.794968,118.168503,117.584259,119.241196,33628300,37011700,33618100,44455500,42162300,20,8,3,3,8,12,10,10,5,14,2,0,0,2,5,122.639999,120.910004,121.300003
